acronym,expansion,context,source,page_title,provenance
עמ״נ,על-מנת,רופאים מטפלים בחולים ובפצועים עמ״נ לרפא אותם וכן עשויים לסייע גם לאנשים בריאים להימנע ממחלות (רפואה מונעת).,wikipedia,רופא,substituted
עמ״נ,על-מנת,"כנרים ידועים גם בערים גדולות כקבצני רחובות, אשר מנגנים כדי להנעים את זמנם של עוברי האורח עמ״נ לזכות בנדבה.",wikipedia,כנר,substituted
עמ״נ,על-מנת,בסעיף 67 למקבל השוחד יש הגדרה רחבה (ולא רק שופטים ועובדי ציבור) ומטרת הנתינה צריכה להיות עמ״נ שיעשה דבר שעליו לא לעשות.,wikipedia,שוחד,substituted
אל״ם,אלוף משנה,"מפקד החטיבה, אל""ם אלעד אדרי, תיאר זאת כהפיכת הגדוד ״מגן הנדסי״ שסלל דרכים חדשות עבור שאר הכוחות.",wikipedia,חטיבת החילוץ וההדרכה במלחמת חרבות ברזל,natural
א״ט,ארוך־טווח,"מטרת הארגון, כעולה מפרסומיו, היא לפעול ""להשגת שיפור מבני א״ט במצב זכויות האדם בשטחים הכבושים"".",wikipedia,יש דין,substituted
קנ״מ,קנה-מידה,"מנגד, לרשת בעלת קנ״מ יחידי ומוגדר ישנו דמיון מסוים לרשת סריג פשוטה, בכך שלכל צומת (בערך) אותו מספר קשר.",wikipedia,תורת הרשתות,substituted
קנ״מ,קנה-מידה,"אם היה סף שכזה, לא הייתה הרשת נטולת קנ״מ.",wikipedia,תורת הרשתות,substituted
קנ״מ,קנה-מידה,"התעניינות ברשתות נטולות קנ״מ התחיל בשנות ה-90 המאוחרות, עם הדיווחים על גילויים של התפלגויות Power-Law בעולם האמיתי, כגון World Wide Web, רשתות IP, רשתות-קשר בין חלבונים, ועוד.",wikipedia,תורת הרשתות,substituted
גח״ל,גיוס חוץ לארץ,"יעקב מרקוביצקי, גחלת לוחמת - גח״ל במלחמת העצמאות, המרכז לתולדות כוח המגן ומשרד הביטחון, 1995.",wikipedia,ההגנה,substituted
גח״ל,גיוס חוץ לארץ,"בקר עלה לארץ ישראל בדרכון בריטי מזויף באוניית המעפילים ""קדמה"" (אונית הנוסעים הראשונה של חברת צים), יחד עם 1,500 מאנשי גח״ל, והגיע לחיפה ב-22 באפריל 1948.",wikipedia,ישראל בקר,substituted
גח״ל,גיוס חוץ לארץ,"עוד לפני כן הועלו כ-20,000 צעירים מהמחנות שהיו נחוצים לעזור בקרבות מלחמת העצמאות במה שנקרא בשם ""גח״ל"".",wikipedia,ההעפלה,substituted
אז״ר,אלכסנדר זיסקינד רבינוביץ',הסופר אז״ר היה הראשון לקבל פנקס חבר של ההסתדרות.,wikipedia,הפנקס האדום,substituted
אז״ר,אלכסנדר זיסקינד רבינוביץ',"מרבית חיבוריו נכתבו בגרמנית או הונגרית, ולבקשת חיים נחמן ביאליק, תורגמו רבים מהם לעברית על ידי אז״ר.",wikipedia,בנימין זאב בכר,substituted
אז״ר,אלכסנדר זיסקינד רבינוביץ',"בן-ציון, הסופרת דבורה בארון, המוציא-לאור יוסף אהרונוביץ, הסופר יוסף חיים ברנר, הסופר אז״ר, המשורר דוד שמעוני והצייר נחום גוטמן (מהילדים הראשונים בשכונה, בנו של ש.",wikipedia,נווה צדק,substituted
ד״ט,דף ט,הגמרא במסכת חגיגה ד״ט עמוד ב מנגידה לומדים: אינו דומה שונה פרקו מאה פעמים לשונה פרקו מאה ואחד.,wikipedia,101 (מספר),substituted
