item_id,acronym,sentence,provisional_expansion,sense_id,gold_expansion,label_status,n_candidates,candidates,provenance,multi_sense_type,batch,source,page_title
ha-00001,אא״ב,"ביטוי ביהדות המתכתב עם ביטוי זה הוא ""אא״ב ושיני בנים תקהינה"".",אבות אכלו בוסר,אא״ב.01,אבות אכלו בוסר,weak,2,אבות אכלו בוסר | אי אמרת בשלמא,substituted,no,3,wikipedia,מעשה אבות סימן לבנים
ha-00002,אא״ב,"למשל, העיקרון התנ""כי – ""אא״ב ושיני בנים תקהינה"", פירושו שיכול לקרות מצב שבו האב יחטא אך צאצאיו ישלמו את המחיר.",אבות אכלו בוסר,אא״ב.01,אבות אכלו בוסר,weak,2,אבות אכלו בוסר | אי אמרת בשלמא,substituted,no,3,wikipedia,תהלה (נובלה)
ha-00003,אא״ב,"יהודה אטלס, ""רוברט בראונינג: אא״ב"", בספר ילדים גדולים (כרך 1, עמ' 58-45), הוצאת ידיעות אחרונות, 2003.",אבות אכלו בוסר,אא״ב.01,אבות אכלו בוסר,weak,2,אבות אכלו בוסר | אי אמרת בשלמא,substituted,no,3,wikipedia,רוברט בראונינג
ha-00004,אא״ג,רופא אא״ג הוא מומחה המטפל בכל ההיבטים הרפואיים והאסתטיים של האף האוזן והגרון.,אף אוזן גרון,אא״ג.01,אף אוזן גרון,weak,2,אף אוזן גרון | אלקטרואנצפלוגרף; תרשים הפעילות החשמלית של המוח,substituted,no,3,wikipedia,רפואת אף אוזן גרון
ha-00005,אא״ג,"שלישיית אא״ג הייתה להקה ישראלית, שפעלה בין השנים 1970 ל-1975.",אף אוזן גרון,אא״ג.01,אף אוזן גרון,weak,2,אף אוזן גרון | אלקטרואנצפלוגרף; תרשים הפעילות החשמלית של המוח,substituted,no,3,wikipedia,אף אוזן גרון (להקה)
ha-00006,אא״ג,"מלבד היותו מוזיקאי, הוא גם רופא המתמחה ברפואת אא״ג.",אף אוזן גרון,אא״ג.01,אף אוזן גרון,weak,2,אף אוזן גרון | אלקטרואנצפלוגרף; תרשים הפעילות החשמלית של המוח,substituted,no,3,wikipedia,חורחה דרקסלר
ha-00007,אא״ע,"ממייסדות הארגון ויושבת ראש אא״ע בחיפה, הייתה חנה חושי אשתו של ראש עיריית חיפה, אבא חושי.",ארגון אמהות עובדות,אא״ע.01,ארגון אמהות עובדות,weak,2,ארגון אמהות עובדות | אחראי איכות ענפי,substituted,no,3,wikipedia,נעמת
ha-00008,אא״ע,"חנה חושי (מונטג; 23 בינואר 1903 – 20 ביולי 1973) הייתה פעילה בארגוני פועלים בחיפה, מייסדת ויושבת ראש אא״ע בחיפה, אשתו של אבא חושי.",ארגון אמהות עובדות,אא״ע.01,ארגון אמהות עובדות,weak,2,ארגון אמהות עובדות | אחראי איכות ענפי,substituted,no,3,wikipedia,חנה חושי
ha-00009,אא״ע,"לאורך השנים, הקים אא״ע ברחבי חיפה, בטירת כרמל ובדלית אל-כרמל למעלה מ-40 מעונות יום, מוסדות הכשרה מקצועית ופנימיות נוער, שבהם למדו למעלה מ-5,100 ילדים בכל שנה ושנה.",ארגון אמהות עובדות,אא״ע.01,ארגון אמהות עובדות,weak,2,ארגון אמהות עובדות | אחראי איכות ענפי,substituted,no,3,wikipedia,חנה חושי
ha-00010,אבט״ש,"אנשי הכוח עוסקים במשימות מגוונות, ובכללן: הגנת גבולות, שמירה על מעברי גבול, אבט״ש, שיטור פלילי, שיטור קהילתי, כליאה, ושמירת מוסר.",אבטחה שוטפת,אבט״ש.02,אבטחה שוטפת,weak,2,אבטחת יישובים | אבטחה שוטפת,substituted,no,3,wikipedia,הכוח המבצעי
