item_id,acronym,sentence,provisional_expansion,sense_id,gold_expansion,label_status,n_candidates,candidates,provenance,multi_sense_type,source,page_title,review_verdict,review_note,label_origin,category
nat-0003,איו״ש,"אוגדת יהודה מוזגה עם אוגדת איו""ש ב־2003, והחטיבות שבו לאחריות האוגדה.",אזור יהודה ושומרון,איו״ש.01,אזור יהודה ושומרון,verified,2,אזור יהודה ושומרון | אריכות ימים ושנים,natural,no,wikipedia,אוגדת אזור יהודה ושומרון,,,wikipedia_natural,wiki_natural
nat-0004,איו״ש,"ב-1 ביוני 2026, חטיבת יהונתן שהוקמו במסגרת חטיבות המילואים ""חטיבות דוד"" תחת עוצבת גלעד הועברה לאוגדת איו""ש.",אזור יהודה ושומרון,איו״ש.01,אזור יהודה ושומרון,verified,2,אזור יהודה ושומרון | אריכות ימים ושנים,natural,no,wikipedia,אוגדת אזור יהודה ושומרון,,,wikipedia_natural,wiki_natural
nat-0005,אמ״ן,"החיל הוקם לאחר מלחמת יום הכיפורים, במטרה לאפשר לראש אמ""ן להתמסר לנושאי המחקר, הערכת המודיעין וההתרעה, ולהסיר ממנו את הצורך לדאוג לטיפול היום-יומי בענייני הלוגיסטיקה והארגון.",אגף מודיעין,אמ״ן.01,אגף מודיעין,verified,2,אגף מודיעין | אל מלך נאמן,natural,yes,wikipedia,אגף המודיעין,,,wikipedia_natural,wiki_natural
nat-0006,אמ״ן,"בעקבות פרשה זו הודח גיבלי מתפקיד ראש אמ""ן, ובמקומו מונה יהושפט הרכבי.",אגף מודיעין,אמ״ן.01,אגף מודיעין,verified,2,אגף מודיעין | אל מלך נאמן,natural,yes,wikipedia,אגף המודיעין,,,wikipedia_natural,wiki_natural
nat-0007,אמ״ן,"ועדת חקירה שהוקמה בעקבות האירוע הטילה את האחריות על ראש אגף המטה הכללי, האלוף מאיר זורע, ועל ראש אמ""ן, האלוף יהושפט הרכבי.",אגף מודיעין,אמ״ן.01,אגף מודיעין,verified,2,אגף מודיעין | אל מלך נאמן,natural,yes,wikipedia,אגף המודיעין,,,wikipedia_natural,wiki_natural
nat-0008,אצ״ל,"בצעירותו עמד בראש תא של אצ״ל בזופייבקה (בפולנית: Sofievka), עיירה יהודית בחבל ווהלין במערב אוקראינה, שהייתה אז חלק מפולין.",ארגון צבאי לאומי,אצ״ל.01,ארגון צבאי לאומי,verified,2,ארגון צבאי לאומי | אין צריך לומר,natural,no,wikipedia,אנשל שפילמן,,,wikipedia_natural,wiki_natural
nat-0009,א״י,נטייתו של קציר לזואולוגיה באה לידי בטוי בהיותו שותף לפרופ' שמעון פריץ בודנהיימר בכתיבת המגדיר העברי הראשון לפרפרי א״י – ״בני שמש״.,ארץ ישראל,א״י.01,ארץ ישראל,verified,4,ארץ ישראל | אבן יקרה | אינו יהודי | אין יכול,natural,yes,wikipedia,אהרן קציר,,,wikipedia_natural,wiki_natural
nat-0010,א״י,"את רעיונותיו לפיתוח תעשייתי של א״י בשילוב הקמת ערי גנים הוא קידם בקונגרסים הציוניים ובביטאונו ״עם וארץ״ (ברלין, 1919).",ארץ ישראל,א״י.01,ארץ ישראל,verified,4,ארץ ישראל | אבן יקרה | אינו יהודי | אין יכול,natural,yes,wikipedia,דייוויס טריטש,,,wikipedia_natural,wiki_natural
nat-0011,א״י,"חברת ""נחלת ישראל - רמה"" לקחה הלוואה מ""בנק משכנתאות ואשראי א״י"" שאותה לא יכלה להחזיר והחל הליך הוצאה לפועל.",ארץ ישראל,א״י.01,ארץ ישראל,verified,4,ארץ ישראל | אבן יקרה | אינו יהודי | אין יכול,natural,yes,wikipedia,נחלת ישראל - רמה,,,wikipedia_natural,wiki_natural
nat-0012,בדר״כ,"בצוות הלוחמים של רכבי הסיור, נמצאים בדר״כ עליו חייל קלע, חייל נגביסט וחייל חובש, לצד שאר הלוחמים ומפקדי סיור.",בדרך כלל,בדר״כ.01,בדרך כלל,verified,2,בדרך כלל | ב-ד רב כהנא- ארמית בשל רב כהנא,natural,no,wikipedia,סיור,,,wikipedia_natural,wiki_natural
