item_id,acronym,sentence,gold_expansion,candidates,n_candidates,provenance,source,page_title,review_verdict
kn-0000,רמב״ם,"גם העברנו בשם הכנסת את מסר ההשתתפות שלנו למשפחות, ואני גם ביקרתי, אני מקווה גם בשמכם, את כל הפצועים בבית-החולים ""רמב""ם"".",הקריה הרפואית לבריאות האדם – בית חולים בחיפה,משנה תורה | ר' משה בן מימון | המרכז הרפואי מיימונידיס | הקריה הרפואית לבריאות האדם – בית חולים בחיפה | מאתיים ושמונים ושתיים (גימטריה),5,knesset,knesset,13_ptm_532014.docx,clean
kn-0001,רמב״ם,"גם אני מצרפת מכאן את תנחומי למשפחות השכולות, ושולחת ברכת החלמה ורפואה שלמה לפצועים בבית-החולים ""רמב""ם"" בחיפה.",הקריה הרפואית לבריאות האדם – בית חולים בחיפה,משנה תורה | ר' משה בן מימון | המרכז הרפואי מיימונידיס | הקריה הרפואית לבריאות האדם – בית חולים בחיפה | מאתיים ושמונים ושתיים (גימטריה),5,knesset,knesset,13_ptm_532014.docx,clean
kn-0002,ש״ח,"ומשום שהעולים לא מגיעים נוצר בתקציב משרד הקליטה עודף של 650 מיליון ש""ח.",שקל חדש,ש.ח. | שקל חדש | שידור חוזר | שומר חינם | שטר חוב | שלוש מאות ושמונה (גימטריה),6,knesset,knesset,13_ptm_532014.docx,clean
kn-0003,ש״ס,"המפלגות ש""ס ויהדות התורה משלות את עצמן, כאילו החלטה כזאת של הממשלה עשויה להביא לידי כך שלא ייובא בשר לא-כשר, ואין הדבר כך.",שומרי תורה ספרדיים,משנה | תלמוד | תלמוד בבלי | תלמוד ירושלמי | שחר סוויסה | שישה סדרים | שעה סמסטריאלית | שומרי תורה ספרדיים | שלוש מאות ושישים (גימטריה),9,knesset,knesset,13_ptm_532014.docx,clean
kn-0004,נ״מ,"והנה ה""חיזב-אללה"" פועל נגדנו באש תותחים ומרגמות, וזאת בלי שתהיה לו הגנת נ""מ משמעותית, וזה לא באזור מוכה טילים, ואנחנו משיבים רק באש ארטילרית.",נגד מטוסים,נגד מטוסים | נפקא מינא | תשעים (גימטריה),3,knesset,knesset,13_ptm_532014.docx,clean
kn-0005,יו״ד,"מעולם לא עמדתי על מידת הדין ועל קוצו של יו""ד.",יוד,"יורה דעה | יוד | יורה דעה, אחד מחלקי השלחן ערוך | עשרים (גימטריה)",4,knesset,knesset,13_ptm_532014.docx,clean
kn-0006,ש״ח,"ההוצאה התקציבית כיום למימון זכויות נכי רדיפות הנאצים מסתכמת בכ-150 מיליון ש""ח בשנה.",שקל חדש,ש.ח. | שקל חדש | שידור חוזר | שומר חינם | שטר חוב | שלוש מאות ושמונה (גימטריה),6,knesset,knesset,13_ptm_532015.docx,clean
kn-0007,הנ״ל,"לאור כל הנ""ל אני תומכת בהעברת הצעת החוק הנדונה, של חברי הכנסת יעל דיין ואבי יחזקאל, לוועדת העבודה והרווחה של הכנסת.",הנזכר לעיל,הנזכר לעיל | הנראה למעלה | הנזכר למטה | שמונים וחמש (גימטריה),4,knesset,knesset,13_ptm_532015.docx,clean
kn-0008,הנ״ל,"בתאריך 27 בספטמבר 1993 הועברה לרשות העתיקות התחייבות על סך מיליון שקלים עבור ביצוע סקר בשכונה הנ""ל, כמקדמה.",הנזכר לעיל,הנזכר לעיל | הנראה למעלה | הנזכר למטה | שמונים וחמש (גימטריה),4,knesset,knesset,13_ptm_532015.docx,clean
kn-0009,הנ״ל,"היום, ממש הבוקר, נמסר לי מרשות העתיקות, כי הגיעו להסדר עם הגורמים הנ""ל והעבודה תחודש.",הנזכר לעיל,הנזכר לעיל | הנראה למעלה | הנזכר למטה | שמונים וחמש (גימטריה),4,knesset,knesset,13_ptm_532015.docx,clean
kn-0010,הנ״ל,"המינהלת ומשרד הבינוי והשיכון יפתחו את השכונות הנ""ל בשנת 1994 על-פי התוכנית, אשר תתואם ותסוכם עם רשות העתיקות.",הנזכר לעיל,הנזכר לעיל | הנראה למעלה | הנזכר למטה | שמונים וחמש (גימטריה),4,knesset,knesset,13_ptm_532015.docx,clean
kn-0011,ד״ר,"– אני מצטט ממכתבו של מנהל המחקר למדעי האדמה, ד""ר מיכאל וייט, במשרד האנרגיה והתשתית, הכותב כך: ""המפות אשר הועברו על-ידי – זו היתה בקשה של המדענים – למסירה למצרים כללו: 1.",דוקטור,דוקטור | דברי רבי־ | דפוס ראשון | דברים רבה | מאתיים וארבע (גימטריה),5,knesset,knesset,13_ptm_532015.docx,clean
kn-0012,הנ״ל,"כאן אני מדגיש ואני מצטט: ""כל המפות הנ""ל פורסמו ונמצאות ברשות כל משתמש.",הנזכר לעיל,הנזכר לעיל | הנראה למעלה | הנזכר למטה | שמונים וחמש (גימטריה),4,knesset,knesset,13_ptm_532015.docx,clean
kn-0013,רש״י,"שואל רש""י, מה זו הלשון הכפולה – וטוב שיש לנו חבר הכנסת אלי דיין; שוב לצור מחצבתך, אלי.",ר' שלמה יצחקי,ר' שלמה יצחקי | רחיים של יד | חמש מאות ועשר (גימטריה),3,knesset,knesset,13_ptm_532015.docx,clean
kn-0014,רש״י,"ובכן, אומר רש""י: ויירא – שמא ייהרג, ויצר לו – אם יהרוג הוא את האחרים.",ר' שלמה יצחקי,ר' שלמה יצחקי | רחיים של יד | חמש מאות ועשר (גימטריה),3,knesset,knesset,13_ptm_532015.docx,clean
kn-0016,הנ״ל,"האם מרכז המידע הנ""ל דייק בדיווחיו ובהודעותיו בעבר בכל הנוגע להתנהגות כוחות הביטחון?",הנזכר לעיל,הנזכר לעיל | הנראה למעלה | הנזכר למטה | שמונים וחמש (גימטריה),4,knesset,knesset,13_ptm_532016.docx,clean
kn-0017,מג״ב,"פרקליטות מחוז הצפון החליטה לסגור את התיק כנגד אנשי מג""ב, באין אשמה פלילית.",משמר הגבול,משמר הגבול | מגה בית (גם: מגה בייט). בדיוק מיליון בית | מיירט גובה בינוני | ארבעים וחמש (גימטריה),4,knesset,knesset,13_ptm_532016.docx,clean
kn-0018,הנ״ל,"כאשר ניגש הנ""ל באותו יום כדי להגיש תלונה על הגנבה בתחנת המשטרה של טייבה, הוא נעצר לחקירה יחד עם חבריו.",הנזכר לעיל,הנזכר לעיל | הנראה למעלה | הנזכר למטה | שמונים וחמש (גימטריה),4,knesset,knesset,13_ptm_532016.docx,clean
kn-0019,הנ״ל,"ביום ראשון, 30 במאי 1993, הגיעו שוטרים ממשטרת טייבה לבית הוריו של הנ""ל והודיעו להם, כי בנם התאבד בתחנת המשטרה של עפולה.",הנזכר לעיל,הנזכר לעיל | הנראה למעלה | הנזכר למטה | שמונים וחמש (גימטריה),4,knesset,knesset,13_ptm_532016.docx,clean
